iter	RMSE
0	20.13087827
1	20.10830995
2	20.05617287
3	20.03411154
4	20.01586933
5	19.9980265
6	19.96654931
7	19.93769935
8	19.89845164
9	19.84834596
10	19.80902986
11	19.78304973
12	19.74940691
13	19.7172113
14	19.67826908
15	19.65500831
16	19.61146959
17	19.58849392
18	19.5442711
19	19.52545933
20	19.48518929
21	19.47166555
22	19.43148215
23	19.41240359
24	19.37787496
25	19.34299285
26	19.32854319
27	19.30445245
28	19.28398717
29	19.25275862
30	19.23328715
31	19.19957687
32	19.17114235
33	19.13825754
34	19.09555282
35	19.06327055
36	19.04231926
37	19.01641194
38	18.99747184
39	18.97641907
40	18.94488181
41	18.91646132
42	18.89669632
43	18.8673139
44	18.83886795
45	18.80800615
46	18.80124223
47	18.78577112
48	18.76826828
49	18.74805922
50	18.73093686
51	18.68950662
52	18.66987998
53	18.64518495
54	18.6297214
55	18.60581801
56	18.59653541
57	18.56983565
58	18.54490557
59	18.53299556
60	18.52122928
61	18.48803839
62	18.47122987
63	18.45481339
64	18.44235404
65	18.41571618
66	18.40081993
67	18.38845103
68	18.36498772
69	18.35787446
70	18.34401626
71	18.32040383
72	18.31092075
73	18.29349547
74	18.2819821
75	18.26114141
76	18.24347378
77	18.2240875
78	18.19338653
79	18.18180348
80	18.16956518
81	18.1531726
82	18.11771353
83	18.09175545
84	18.07100887
85	18.04726808
86	18.0305917
87	18.00212978
88	17.97365046
89	17.94162731
90	17.92549281
91	17.90250075
92	17.87375687
93	17.85411884
94	17.83077179
95	17.79950228
96	17.77695001
97	17.75829004
98	17.74727809
99	17.72305826
100	17.70269639
101	17.68023348
102	17.66269425
103	17.64129417
104	17.62361703
105	17.61019447
106	17.57523998
107	17.55739222
108	17.51004083
109	17.48711028
110	17.47088811
111	17.44218238
112	17.41444165
113	17.38833638
114	17.37524886
115	17.3468108
116	17.32057799
117	17.29753432
118	17.28897167
119	17.26211685
120	17.24435608
121	17.21154484
122	17.18675198
123	17.17832376
124	17.16205189
125	17.13643608
126	17.11878553
127	17.10603708
128	17.09132834
129	17.07404767
130	17.05441758
131	17.04176813
132	17.01008147
133	17.00063284
134	16.98966396
135	16.96849079
136	16.94845252
137	16.92381103
138	16.89759552
139	16.86851353
140	16.86062955
141	16.8470104
142	16.81740273
143	16.79763087
144	16.77411393
145	16.76157588
146	16.75170141
147	16.73527651
148	16.70808116
149	16.69237191
150	16.68074281
151	16.65705966
152	16.63240063
153	16.60693035
154	16.5860213
155	16.58205339
156	16.54365943
157	16.52880028
158	16.50150156
159	16.4898186
160	16.47490896
161	16.45586668
162	16.43862606
163	16.41021221
164	16.37728073
165	16.36219885
166	16.34767756
167	16.33059804
168	16.32092249
169	16.30542192
170	16.27464462
171	16.26651076
172	16.2401751
173	16.23388274
174	16.20752207
175	16.18561145
176	16.17636486
177	16.1633157
178	16.14968108
179	16.13583553
180	16.11791429
181	16.09959792
182	16.07418346
183	16.06082122
184	16.04300196
185	16.02423858
186	16.01392634
187	15.98812972
188	15.95349956
189	15.94291023
190	15.92605739
191	15.90786731
192	15.89869941
193	15.86025459
194	15.83531936
195	15.80973967
196	15.80526408
197	15.78190115
198	15.75939973
199	15.72954865
200	15.70344773
201	15.69471591
202	15.69135899
203	15.66481838
204	15.64219826
205	15.6214402
206	15.60424126
207	15.57531424
208	15.54478806
209	15.52527049
210	15.50240909
211	15.4881567
212	15.48420166
213	15.44706073
214	15.44152039
215	15.41492556
216	15.39381431
217	15.36794547
218	15.36194223
219	15.34239267
220	15.32500316
221	15.30729225
222	15.28057763
223	15.26694262
224	15.24224675
225	15.21250321
226	15.20846786
227	15.17570438
228	15.15017177
229	15.13812261
230	15.11862558
231	15.10934747
232	15.09030932
233	15.07202028
234	15.04925799
235	15.04250031
236	15.02052904
237	14.9973348
238	14.97313901
239	14.95820312
240	14.93514586
241	14.91092754
242	14.90650642
243	14.90524848
244	14.88007826
245	14.86525005
246	14.86053154
247	14.84078951
248	14.82334357
249	14.80049182
250	14.78509568
251	14.76329427
252	14.74363977
253	14.73138706
254	14.70996448
255	14.69398962
256	14.67889957
257	14.66794684
258	14.65019311
259	14.62825447
260	14.60789903
261	14.57568366
262	14.55719918
263	14.53525286
264	14.51144991
265	14.50305776
266	14.49279073
267	14.48883285
268	14.45970696
269	14.42491495
270	14.40531889
271	14.39052111
272	14.37536053
273	14.36452243
274	14.34058174
275	14.31207847
276	14.28398525
277	14.28326076
278	14.24698388
279	14.22603558
280	14.20571214
281	14.18872642
282	14.18067658
283	14.1790305
284	14.16114716
285	14.13289593
286	14.11926874
287	14.0958141
288	14.07716351
289	14.07002634
290	14.05688508
291	14.03447947
292	14.02463078
293	14.0118541
294	13.98886385
295	13.98349161
296	13.95944935
297	13.93846711
298	13.91389352
299	13.89290587
300	13.87671615
301	13.8540883
302	13.8466401
303	13.84421565
304	13.81803912
305	13.79309759
306	13.76820442
307	13.74401457
308	13.72702775
309	13.71947185
310	13.70684919
311	13.68883984
312	13.66922631
313	13.66086936
314	13.63259404
315	13.6151055
316	13.60190845
317	13.57715424
318	13.55275018
319	13.5351824
320	13.5149396
321	13.51355964
322	13.48779077
323	13.46863356
324	13.44436609
325	13.42402155
326	13.40209199
327	13.3860329
328	13.3729346
329	13.3606401
330	13.33597662
331	13.29892111
332	13.29642198
333	13.27565935
334	13.27121159
335	13.23891833
336	13.21500919
337	13.19095728
338	13.17371905
339	13.15984909
340	13.12682954
341	13.12084308
342	13.09879424
343	13.08941392
344	13.07605418
345	13.05986425
346	13.05530873
347	13.05128007
348	13.02590426
349	13.01226105
350	12.99745065
351	12.99596218
352	12.98067564
353	12.96890311
354	12.9653666
355	12.96467285
356	12.95237494
357	12.92095978
358	12.90146098
359	12.8848607
360	12.86724682
361	12.86452734
362	12.84730711
363	12.84475835
364	12.81977761
365	12.79516539
366	12.77680063
367	12.76007831
368	12.74339007
369	12.71513331
370	12.69539252
371	12.69106859
372	12.67120816
373	12.66199017
374	12.64749302
375	12.62771998
376	12.60662242
377	12.58999749
378	12.55257766
379	12.53675419
380	12.53586749
381	12.53490768
382	12.51941698
383	12.50347213
384	12.48659009
385	12.4714559
386	12.45913565
387	12.4348548
388	12.41836193
389	12.40346631
390	12.3855957
391	12.36981639
392	12.35744297
393	12.33322738
394	12.33265639
395	12.31323234
396	12.30078983
397	12.2830392
398	12.2602451
399	12.24568218
400	12.24277559
401	12.21565462
402	12.18841828
403	12.16580927
404	12.14845934
405	12.1230417
406	12.09898173
407	12.07498094
408	12.04980992
409	12.03494421
410	12.02963076
411	12.01435177
412	11.98600888
413	11.96901473
414	11.95259821
415	11.9402805
416	11.91847323
417	11.90795701
418	11.8918541
419	11.88009012
420	11.86365881
421	11.8511947
422	11.84785789
423	11.83739445
424	11.82517473
425	11.81982558
426	11.79888197
427	11.78443972
428	11.76836577
429	11.75246972
430	11.73786869
431	11.72456258
432	11.7179488
433	11.70360654
434	11.68797336
435	11.6637522
436	11.65326669
437	11.6483161
438	11.62739325
439	11.62515685
440	11.61242656
441	11.5986347
442	11.58064573
443	11.5745198
444	11.55927737
445	11.53564669
446	11.532084
447	11.51099916
448	11.50716666
449	11.50050272
450	11.48950073
451	11.47681766
452	11.47036617
453	11.45422693
454	11.43807991
455	11.41901456
456	11.41261298
457	11.39238805
458	11.38316822
459	11.36531415
460	11.34275782
461	11.34129717
462	11.32881351
463	11.30773046
464	11.28647347
465	11.27353973
466	11.25743385
467	11.24067266
468	11.2279618
469	11.21364163
470	11.19873914
471	11.19229434
472	11.17038685
473	11.15323637
474	11.13342611
475	11.11891028
476	11.09405909
477	11.08202791
478	11.06360932
479	11.04654321
480	11.03609876
481	11.020341
482	11.00785448
483	10.99149146
484	10.97961588
485	10.970284
486	10.95229935
487	10.93883517
488	10.93575778
489	10.9146328
490	10.89530694
491	10.8826047
492	10.86932482
493	10.85679268
494	10.83499493
495	10.81440101
496	10.79923555
497	10.78470557
498	10.76681421
499	10.74870679
