iter	Passed	Remaining
0	1	866
1	3	810
2	4	813
3	12	1530
4	13	1288
5	13	1136
6	14	1022
7	15	926
8	15	853
9	16	792
10	16	745
11	17	707
12	17	672
13	18	642
14	19	618
15	19	599
16	20	583
17	21	565
18	21	548
19	22	533
20	23	525
21	23	513
22	24	502
23	24	490
24	25	480
25	25	470
26	26	462
27	27	455
28	27	449
29	28	444
30	29	439
31	29	433
32	30	427
33	30	421
34	31	415
35	31	410
36	32	405
37	32	400
38	33	396
39	34	391
40	34	387
41	35	384
42	35	380
43	36	377
44	37	379
45	38	378
46	38	375
47	39	372
48	40	368
49	40	365
50	41	362
51	42	365
52	43	368
53	45	374
54	46	378
55	48	381
56	49	384
57	50	388
58	52	389
59	53	395
60	55	398
61	56	400
62	57	400
63	58	397
64	59	397
65	59	394
66	60	390
67	61	387
68	61	384
69	62	381
70	62	378
71	63	375
72	63	373
73	64	370
74	64	367
75	65	365
76	66	362
77	66	359
78	67	357
79	67	356
80	68	354
81	69	352
82	69	350
83	70	347
84	70	345
85	71	343
86	72	341
87	72	339
88	73	338
89	73	336
90	74	335
91	75	333
92	75	331
93	76	329
94	76	327
95	77	325
96	77	323
97	78	321
98	78	319
99	79	317
100	80	316
101	80	314
102	81	312
103	81	311
104	82	309
105	83	308
106	83	307
107	84	305
108	84	304
109	85	302
110	85	301
111	86	299
112	87	300
113	89	302
114	90	302
115	91	303
116	93	306
117	95	308
118	96	309
119	98	311
120	100	313
121	101	314
122	102	313
123	103	312
124	103	311
125	104	310
126	105	309
127	106	308
128	106	306
129	107	304
130	107	303
131	108	301
132	108	300
133	109	298
134	109	297
135	110	295
136	111	294
137	111	292
138	112	293
139	113	292
140	114	290
141	114	289
142	115	288
143	115	286
144	116	285
145	117	284
146	118	283
147	119	283
148	119	282
149	120	281
150	121	280
151	121	278
152	122	277
153	122	275
154	123	274
155	123	273
156	124	272
157	125	270
158	125	269
159	126	268
160	126	266
161	127	265
162	128	264
163	128	263
164	129	262
165	130	262
166	130	260
167	141	280
168	143	281
169	145	282
170	146	282
171	148	282
172	148	280
173	149	279
174	149	278
175	150	277
176	151	275
177	151	274
178	152	272
179	152	271
180	153	269
181	153	268
182	154	267
183	154	265
184	155	264
185	155	263
186	156	261
187	157	260
188	157	259
189	158	258
190	159	257
191	159	256
192	160	254
193	160	253
194	161	252
195	161	250
196	162	249
197	163	248
198	163	247
199	164	246
200	164	245
201	165	244
202	166	243
203	166	242
204	167	240
205	167	239
206	168	238
207	169	237
208	169	236
209	170	235
210	170	233
211	171	232
212	171	231
213	172	230
214	172	229
215	173	228
216	174	227
217	175	226
218	175	225
219	176	224
220	176	223
221	187	234
222	189	235
223	191	235
224	192	235
225	193	235
226	194	233
227	195	232
228	195	231
229	196	230
230	196	229
231	197	228
232	198	226
233	198	225
234	199	224
235	199	223
236	200	222
237	200	221
238	201	219
239	201	218
240	202	217
241	202	216
242	203	215
243	204	214
244	205	213
245	205	212
246	206	211
247	206	210
248	207	208
249	207	207
